City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,al burayqah,30.4062,19.5739,18.96,69,47,8.98,LY,2023-12-08
79,port mathurin,-19.6833,63.4167,25.85,76,8,3.47,MU,2023-12-08
80,usogorsk,63.4106,48.6872,-29.63,99,15,0.44,RU,2023-12-08
81,puerto ayora,-0.7393,-90.3518,24.19,96,79,2.24,EC,2023-12-08
82,tetbury,51.6394,-2.1622,8.51,93,100,3.85,GB,2023-12-08
83,selah,46.654,-120.5301,8.2,59,0,7.72,US,2023-12-08
84,lihue,21.9789,-159.3672,26.77,70,0,4.12,US,2023-12-08
85,kapuskasing,49.4169,-82.4331,-0.95,93,100,2.57,CA,2023-12-08
86,cannonvale,-20.2833,148.7,27.66,57,95,8.05,AU,2023-12-08
87,chui,-33.6971,-53.4616,15.93,80,30,5.31,UY,2023-12-08
88,lalmohan,22.3384,90.7419,20.84,93,91,3.1,BD,2023-12-08
89,dunedin,-45.8742,170.5036,17.45,53,66,1.64,NZ,2023-12-08
90,smithers,54.7804,-127.1743,-4.82,93,100,2.57,CA,2023-12-08
91,aasiaat,68.7098,-52.8699,-11.94,87,100,1.39,GL,2023-12-08
92,harper,4.375,-7.7169,26.62,81,29,3.79,LR,2023-12-08
93,bilibino,68.0546,166.4372,-37.12,100,71,1.0,RU,2023-12-08
94,dazhong,33.1997,120.4578,11.35,54,0,4.29,CN,2023-12-08
95,malango,-2.9627,119.9001,21.41,95,100,0.91,ID,2023-12-08
96,kingston,17.997,-76.7936,29.53,73,20,1.79,JM,2023-12-08
97,luderitz,-26.6481,15.1594,16.14,80,0,5.73,NA,2023-12-08
98,punta arenas,-53.15,-70.9167,10.06,71,0,3.6,CL,2023-12-08
99,hawaiian paradise park,19.5933,-154.9731,27.15,73,40,5.66,US,2023-12-08
100,port alfred,-33.5906,26.891,20.75,93,30,2.22,ZA,2023-12-08
101,digras,20.1167,77.7167,18.46,92,41,2.19,IN,2023-12-08
102,jackson,42.4165,-122.8345,7.53,89,100,2.06,US,2023-12-08
103,sabanozu,40.4825,33.2835,4.42,88,100,1.51,TR,2023-12-08
104,vila franca do campo,37.7167,-25.4333,19.23,99,99,4.98,PT,2023-12-08
105,mata-utu,-13.2816,-176.1745,28.35,79,77,5.87,WF,2023-12-08
106,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,72,40,2.24,RU,2023-12-08
107,vorgashor,67.5833,63.95,-25.66,98,100,1.82,RU,2023-12-08
108,tiksi,71.6872,128.8694,-33.73,100,87,2.13,RU,2023-12-08
109,constantia,44.1833,28.65,0.39,94,100,6.61,RO,2023-12-08
110,klyuchi,52.2667,79.1667,-22.11,71,82,3.77,RU,2023-12-08
111,kashira,54.8444,38.1669,-19.15,100,100,3.18,RU,2023-12-08
112,san fernando de monte cristi,19.8667,-71.65,25.7,77,51,7.78,DO,2023-12-08
113,polyarnyy,69.1989,33.4478,-14.98,96,70,6.87,RU,2023-12-08
114,gereida,11.2811,25.1414,21.29,18,81,3.57,SD,2023-12-08
115,suva,-18.1416,178.4415,29.71,70,75,3.6,FJ,2023-12-08
116,isafjordur,66.0755,-23.124,-2.19,78,92,4.03,IS,2023-12-08
117,talnakh,69.4865,88.3972,-33.42,86,23,1.54,RU,2023-12-08
118,barbastro,42.0356,0.1269,7.3,89,100,1.09,ES,2023-12-08
119,kailua-kona,19.6406,-155.9956,28.06,65,40,6.69,US,2023-12-08
120,tulun,54.5611,100.5792,-34.17,100,50,1.07,RU,2023-12-08
121,biankouma,7.7391,-7.6138,22.42,57,37,1.19,CI,2023-12-08
122,angra do heroismo,38.65,-27.2167,19.51,96,75,4.02,PT,2023-12-08
123,sola,-13.8833,167.55,27.15,79,90,6.74,VU,2023-12-08
124,tabou,4.423,-7.3528,26.67,79,30,3.4,CI,2023-12-08
125,sitka,57.0531,-135.33,3.94,87,100,0.0,US,2023-12-08
126,nuuk,64.1835,-51.7216,2.34,55,95,1.54,GL,2023-12-08
127,ocean shores,46.9737,-124.1563,9.0,83,75,6.17,US,2023-12-08
128,pangody,65.85,74.4859,-18.21,96,100,6.17,RU,2023-12-08
129,pallippatti,11.9333,78.4167,21.53,96,80,1.3,IN,2023-12-08
130,keflavik,64.0049,-22.5624,1.24,60,0,5.66,IS,2023-12-08
131,turtas,58.9417,69.1325,-29.6,90,24,1.98,RU,2023-12-08
132,san luis de la loma,17.2706,-100.8939,26.39,78,76,0.79,MX,2023-12-08
133,kuanda,56.3161,116.0806,-29.73,98,100,1.36,RU,2023-12-08
134,swift current,50.2834,-107.8014,0.45,100,100,8.75,CA,2023-12-08
135,suntar,62.1444,117.6319,-49.86,100,83,0.45,RU,2023-12-08
136,salavan,15.7167,106.4167,20.27,86,13,0.85,LA,2023-12-08
137,puerto baquerizo moreno,-0.9,-89.6,24.12,88,83,4.93,EC,2023-12-08
138,aldinga beach,-35.2793,138.4604,30.35,43,90,7.5,AU,2023-12-08
139,walvis bay,-22.9575,14.5053,16.16,86,12,4.22,NA,2023-12-08
140,queenstown,-31.8976,26.8753,15.71,74,45,1.27,ZA,2023-12-08
141,grand falls-windsor,48.9332,-55.6649,-4.72,77,99,2.68,CA,2023-12-08
142,new norfolk,-42.7826,147.0587,21.72,21,98,1.06,AU,2023-12-08
143,waajid,3.8096,43.2463,24.57,50,39,4.31,SO,2023-12-08
144,al bawiti,28.3492,28.8659,13.54,50,58,1.0,EG,2023-12-08
145,achinsk,56.2694,90.4993,-23.23,100,100,0.89,RU,2023-12-08
146,luwingu,-10.2621,29.9271,17.34,95,55,1.43,ZM,2023-12-08
147,udachny,66.4167,112.4,-27.08,99,100,1.4,RU,2023-12-08
148,qaqortoq,60.7167,-46.0333,2.32,61,100,6.53,GL,2023-12-08
149,praia da vitoria,38.7333,-27.0667,19.31,94,75,9.91,PT,2023-12-08
150,shaydon,40.6747,70.346,6.67,41,100,1.9,TJ,2023-12-08
151,corner brook,48.9667,-57.9484,-4.91,91,99,5.46,CA,2023-12-08
152,nakhon si thammarat,8.25,100.0,25.0,92,100,0.59,TH,2023-12-08
153,south hedland,-20.4089,118.5983,29.96,74,11,0.51,AU,2023-12-08
154,holualoa,19.6228,-155.9522,25.99,65,40,6.69,US,2023-12-08
155,sinabang,2.4803,96.3801,26.31,83,100,0.31,ID,2023-12-08
156,cabo san lucas,22.8909,-109.9124,27.64,50,0,4.12,MX,2023-12-08
157,arraial do cabo,-22.9661,-42.0278,27.92,65,0,7.72,BR,2023-12-08
158,arauco,-37.2463,-73.3175,15.18,72,3,5.22,CL,2023-12-08
159,albany,42.6001,-73.9662,-1.7,88,87,0.48,US,2023-12-08
160,st ives,50.2086,-5.4875,11.0,86,22,11.06,GB,2023-12-08
161,anadyr,64.75,177.4833,-20.72,84,20,13.0,RU,2023-12-08
162,quatre cocos,-20.2078,57.7625,25.06,82,64,2.33,MU,2023-12-08
163,karratha,-20.7377,116.8463,33.76,22,4,7.96,AU,2023-12-08
164,koesan,36.8108,127.7947,2.55,73,0,2.39,KR,2023-12-08
165,tanumah,27.1,44.1333,17.99,28,0,3.44,SA,2023-12-08
166,codrington,-38.2667,141.9667,33.23,28,98,9.99,AU,2023-12-08
167,barcelos,41.5388,-8.6151,15.08,86,82,6.16,PT,2023-12-08
168,khmilnyk,49.5598,27.9575,-4.59,97,100,2.6,UA,2023-12-08
169,airuk,7.2772,168.8203,27.99,83,41,8.88,MH,2023-12-08
170,vilyuysk,63.7553,121.6247,-45.56,100,91,1.34,RU,2023-12-08
171,brookings,44.3114,-96.7984,9.0,63,0,7.2,US,2023-12-08
172,glace bay,46.1969,-59.957,-1.13,71,100,8.23,CA,2023-12-08
173,santa terezinha,-29.9002,-50.0904,21.76,92,100,6.77,BR,2023-12-08
174,anna regina,7.2644,-58.5077,26.83,82,35,4.41,GY,2023-12-08
175,nuku'alofa,-21.1333,-175.2,39.19,42,40,3.6,TO,2023-12-08
176,launceston,-41.45,147.1667,22.8,49,40,6.69,AU,2023-12-08
177,beni saf,35.301,-1.3823,17.16,88,99,5.14,DZ,2023-12-08
178,tezu,27.9167,96.1667,16.49,89,100,0.29,IN,2023-12-08
179,kodiak,57.79,-152.4072,-1.27,43,0,5.14,US,2023-12-08
180,thunder bay,48.4001,-89.3168,1.99,93,75,2.57,CA,2023-12-08
181,burutu,5.3509,5.5076,26.21,84,99,2.62,NG,2023-12-08
182,yaren,-0.5472,166.916,26.02,89,100,5.51,NR,2023-12-08
183,castillos,-34.1667,-53.8333,15.62,81,20,5.34,UY,2023-12-08
184,crane,31.3974,-102.3501,19.39,28,1,2.99,US,2023-12-08
185,hasaki,35.7333,140.8333,12.94,38,0,2.15,JP,2023-12-08
186,maragogi,-9.0122,-35.2225,25.54,81,89,3.6,BR,2023-12-08
187,newman,37.3138,-121.0208,17.79,37,56,1.34,US,2023-12-08
188,homer,59.6425,-151.5483,-2.07,80,100,4.12,US,2023-12-08
189,kidal,18.4411,1.4078,22.32,14,43,1.83,ML,2023-12-08
190,fort bragg,35.139,-79.006,9.34,56,0,2.06,US,2023-12-08
191,mar del plata,-38.0023,-57.5575,15.61,81,0,3.09,AR,2023-12-08
192,kontiolahti,62.7602,29.8471,-12.03,90,20,2.57,FI,2023-12-08
193,mount pearl,47.5166,-52.7813,-2.25,86,75,11.83,CA,2023-12-08
194,kerikeri,-35.2268,173.9474,24.39,63,8,2.24,NZ,2023-12-08
195,porto novo,6.4965,2.6036,28.9,83,100,3.0,BJ,2023-12-08
196,chiras,35.4167,65.9823,-0.71,35,100,0.82,AF,2023-12-08
197,tera,14.0078,0.7531,23.92,13,80,3.77,NE,2023-12-08
198,bargarh,21.3333,83.6167,18.97,91,92,1.55,IN,2023-12-08
199,bichura,50.5881,107.6022,-20.89,81,100,4.52,RU,2023-12-08
200,utrik,11.2278,169.8474,27.51,78,50,10.55,MH,2023-12-08
201,merizo village,13.2658,144.6691,29.99,78,100,8.3,GU,2023-12-08
202,kerema,-7.9631,145.7785,28.27,72,63,1.83,PG,2023-12-08
203,striano,40.8159,14.5765,10.01,92,2,1.55,IT,2023-12-08
204,bereznik,62.8551,42.7072,-20.88,99,84,1.49,RU,2023-12-08
205,loango,-4.6719,11.8312,26.07,82,76,2.73,CG,2023-12-08
206,nagqu,31.5,92.0,-8.61,93,100,0.45,CN,2023-12-08
207,puerto el triunfo,13.2833,-88.55,27.3,71,1,1.25,SV,2023-12-08
208,rongelap,11.1635,166.8941,27.45,83,11,9.47,MH,2023-12-08
209,purpe,64.4803,76.6897,-22.14,97,100,6.82,RU,2023-12-08
210,slave lake,55.2834,-114.769,-3.01,86,0,3.09,CA,2023-12-08
211,paita,-5.0892,-81.1144,21.19,82,37,6.49,PE,2023-12-08
212,ghat,24.9647,10.1728,14.91,34,0,2.88,LY,2023-12-08
213,varna,43.2167,27.9167,5.16,86,100,4.12,BG,2023-12-08
214,nehe,48.4833,124.8333,-11.69,95,100,3.54,CN,2023-12-08
215,ust-nera,64.5667,143.2,-32.0,95,100,2.12,RU,2023-12-08
216,coruripe,-10.1256,-36.1756,25.8,79,71,4.74,BR,2023-12-08
217,hadibu,12.65,54.0333,24.62,70,68,4.98,YE,2023-12-08
218,poronaysk,49.2167,143.1167,-1.3,70,100,6.61,RU,2023-12-08
219,lincheng,19.9078,109.6858,19.48,80,61,3.85,CN,2023-12-08
220,canutama,-6.5339,-64.3831,24.19,93,78,0.72,BR,2023-12-08
221,klaksvik,62.2266,-6.589,6.51,79,99,12.98,FO,2023-12-08
222,el bolson,-41.9667,-71.5167,17.66,64,15,1.33,AR,2023-12-08
223,tazovsky,67.4667,78.7,-27.29,96,64,5.49,RU,2023-12-08
224,nacala,-14.5428,40.6728,23.94,86,10,2.62,MZ,2023-12-08
225,gamba,-2.65,10.0,26.46,84,100,2.95,GA,2023-12-08
226,anar darah,32.7587,61.654,9.5,24,0,0.84,AF,2023-12-08
227,haiku-pauwela,20.9219,-156.3051,27.01,58,40,4.12,US,2023-12-08
228,gadzhiyevo,69.2551,33.3362,-15.74,98,79,6.65,RU,2023-12-08
229,cangas de onis,43.3284,-5.0718,9.64,89,100,2.96,ES,2023-12-08
230,amos,48.5669,-78.1162,-5.75,96,100,1.6,CA,2023-12-08
231,valparaiso,-33.0393,-71.6273,18.6,67,40,3.09,CL,2023-12-08
232,saint-francois,46.4154,3.9054,7.03,83,100,3.09,FR,2023-12-08
233,west island,-12.1568,96.8225,26.99,78,75,7.72,CC,2023-12-08
234,fang,19.9169,99.2145,20.56,99,81,0.49,TH,2023-12-08
235,vernon,50.2581,-119.2691,5.34,86,98,1.03,CA,2023-12-08
236,wuyang,31.9925,116.2472,11.87,48,17,2.88,CN,2023-12-08
237,lorengau,-2.0226,147.2712,28.34,81,95,5.01,PG,2023-12-08
238,pimentel,-6.8367,-79.9342,22.16,73,0,8.75,PE,2023-12-08
239,flying fish cove,-10.4217,105.6791,26.82,78,75,3.09,CX,2023-12-08
240,yokadouma,3.5167,15.05,21.25,96,70,0.25,CM,2023-12-08
241,namibe,-15.1961,12.1522,22.8,78,97,2.61,AO,2023-12-08
242,ketchikan,55.3422,-131.6461,4.26,93,100,0.0,US,2023-12-08
243,tual,-5.6667,132.75,28.64,71,100,0.35,ID,2023-12-08
244,sabang,5.8933,95.3214,27.48,81,100,6.47,ID,2023-12-08
245,valdivia,-39.8142,-73.2459,20.05,81,0,1.12,CL,2023-12-08
246,kimbe,-5.5502,150.1429,28.53,80,81,1.45,PG,2023-12-08
247,port sudan,19.6175,37.2164,26.39,76,5,2.42,SD,2023-12-08
248,beira,-19.8436,34.8389,26.05,89,20,2.57,MZ,2023-12-08
